class_index;class_name;keywords
1;політика;Вибори Держава Президент Поліція Політика Безпека Зброя Війна Конфлікт Росія Китай Міністр Порошенко Зеленський США
2;спорт;Футбол Спорт Ліга Чемпіонат Квитки Баскетбол Гра Ігри Тренування Збірна Команда Кубок Перемога Поразка Турнір Гол Тренер Матч Сезон Чемпіон Чемпіони Гравець Воротар
3;бізнес;Компанія Нафта Ринок Покупець Бізнес Продукт Ціна Акція Акції Криптовалюта Ціни Прибуток Інвестор
4;технології;Лабораторія Компютер Технологія Google Microsoft Apple Samsung Інтернет Забезпечення Програма Космос Розробка Розробник Дослідження Windows Користувач Браузер
5;новини;Місто Смерть Помер Новини Новина Люди Кіно Коронавірус Пандемія Народження Фільм Музика Пісня Євробачення Співак
